REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,,,,,,
Thomas Suozzi,NY,Congress,Democratic,URI,URI US,US,United Rentals Inc,Buy,5/23/2019,8000,Com,118.49,66,111.26,152.27,130.56,,,,,,
Donna Shalala,FL,Congress,Democratic,AVGO,AVGO US,US,Broadcom Inc,Buy,5/22/2019,8000,Com NPV,269.22,28,280.37,311.07,274.8,,,,,,
Donna Shalala,FL,Congress,Democratic,BK,BK US,US,Bank Of New York Mellon Corp,Buy,5/20/2019,8000,Com,45.97,174,42.72,48.73,33.52,,,,,,
Donna Shalala,FL,Congress,Democratic,COP,COP US,US,ConocoPhillips,Buy,5/20/2019,8000,Com,62.45,128,53.94,56.7,42.67,,,,,,
Donna Shalala,FL,Congress,Democratic,DLR,DLR US,US,Digital Realty Trust Inc,Buy,5/20/2019,8000,Com,116.17,68,124.33,120.47,131.41,,,,,,
Donna Shalala,FL,Congress,Democratic,DOW,DOW US,US,Dow Inc,Buy,5/20/2019,8000,Com,50.08,158,45.6,54.32,35.64,,,,,,
Donna Shalala,FL,Congress,Democratic,HPQ,HPQ US,US,HP Inc,Buy,5/20/2019,8000,Com,18.96,420,19.21,20.01,16.73,,,,,,
Donna Shalala,FL,Congress,Democratic,JNJ,JNJ US,US,Johnson & Johnson,Buy,5/20/2019,8000,Com,138.42,56,132.25,134.83,149.02,,,,,,
Donna Shalala,FL,Congress,Democratic,JPM,JPM US,US,JP Morgan Chase & Co,Buy,5/20/2019,8000,Com,111.35,70,108.69,130.62,88.67,,,,,,
Donna Shalala,FL,Congress,Democratic,LMT,LMT US,US,Lockheed Martin Corp,Buy,5/20/2019,8000,Com,342.01,22,380.47,392.76,371.48,,,,,,
Donna Shalala,FL,Congress,Democratic,OXY,OXY US,US,Occidental Petroleum Corp,Buy,5/20/2019,8000,Com,53.46,148,45.58,39.3,14.37,,,,,,
Donna Shalala,FL,Congress,Democratic,WFC,WFC US,US,Wells Fargo & Co,Buy,5/20/2019,8000,Com,45.45,176,45.25,54,23.95,,,,,,
Roger Wicker,MS,Senate,Republican,BIF,BIF US,US,Boulder Growth & Income Fund,Buy,5/17/2019,8000,Com,10.89,734,10.57,11.48,9.21,,,,,,
Donna Shalala,FL,Congress,Democratic,AMBA,AMBA US,US,Ambarella Inc,Buy,5/15/2019,8000,Com,48.57,164,45.75,57.53,51.83,,,,,,
Donna Shalala,FL,Congress,Democratic,EVOP,EVOP US,US,Evo Payments Inc,Buy,5/15/2019,8000,Com A,28.98,276,28.54,28.03,19.74,,,,,,
Donna Shalala,FL,Congress,Democratic,PGRE,PGRE US,US,Paramount Group Inc,Buy,5/15/2019,8000,Ord NPV,14.65,546,13.15,13.73,7.52,,,,,,
Donna Shalala,FL,Congress,Democratic,SHAK,SHAK US,US,Shake Shack Inc,Buy,5/15/2019,8000,Com A,60.82,130,91.61,62.79,48.29,,,,,,
Donna Shalala,FL,Congress,Democratic,SITE,SITE US,US,Siteone Landscape Supply Inc,Buy,5/15/2019,8000,Com,66.1,120,76.48,92.18,86.16,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,PSIX,PSIX US,US,Power Solutions International Inc,Buy,5/15/2019,8000,Com,9.35,854,#N/A,5.9,4.95,,,,,,
John Curtis,UT,Congress,Republican,DIS,DIS US,US,Walt Disney Co,Buy,5/14/2019,8000,Com,133.2,60,135.75,136.74,102.92,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,YEXT,YEXT US,US,Yext Inc,Buy,5/14/2019,8000,Com,20.8,384,20.12,16.22,13.3,,,,,,
Thomas Suozzi,NY,Congress,Democratic,AAPL,AAPL US,US,Apple Inc,Buy,5/13/2019,32500,Com NPV,46.43,698,50.12,65.55,77.85,,,,,,
Thomas Suozzi,NY,Congress,Democratic,BA,BA US,US,Boeing Co,Buy,5/13/2019,40501,Com,337.37,120,332.94,366.96,125.22,,,,,,
Thomas Suozzi,NY,Congress,Democratic,DE,DE US,US,Deere & Co,Buy,5/13/2019,32500,Com,146.28,222,147.05,179.8,130.05,,,,,,
Thomas Suozzi,NY,Congress,Democratic,GLW,GLW US,US,Corning Inc,Buy,5/11/2019,32500,Com,29.6,1096,28.28,30.19,21.3,,,,,,
Donna Shalala,FL,Congress,Democratic,IONS,IONS US,US,Ionis Pharmaceuticals Inc,Buy,5/8/2019,8000,Com,68.65,116,64.07,54.75,53.26,,,,,,
Thomas Suozzi,NY,Congress,Democratic,CAT,CAT US,US,Caterpillar Inc,Buy,5/8/2019,32500,Com,131.95,246,122.08,146.92,107.29,,,,,,
Thomas Suozzi,NY,Congress,Democratic,CI,CI US,US,Cigna Corp,Buy,5/8/2019,32500,Com,156.51,206,163.72,183.12,184.18,,,,,,
Thomas Suozzi,NY,Congress,Democratic,GLW,GLW US,US,Corning Inc,Buy,5/8/2019,32500,Com,30.89,1052,28.52,30.06,20.95,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,TSLA,TSLA US,US,Tesla Inc,Buy,5/7/2019,32500,Com,49.41,656,45.66,63.49,156.52,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,FIVN,FIVN US,US,Five9 Inc,Buy,5/6/2019,8000,Com,51,156,55.5,55.46,96.02,,,,,,
Thomas Suozzi,NY,Congress,Democratic,REGN,REGN US,US,Regeneron Pharmaceuticals Inc,Buy,5/2/2019,75000,Com,335.41,222,304.76,310.46,525.5,,,,,,
Donna Shalala,FL,Congress,Democratic,BERY,BERY US,US,Berry Global Group Inc,Buy,4/30/2019,8000,Com,58.8,136,55.19,42.7,40.69,,,,,,
Donna Shalala,FL,Congress,Democratic,FBC,FBC US,US,Flagstar Bancorp Inc,Buy,4/30/2019,8000,Com,35.75,222,34.89,37.6,27.24,,,,,,
Donna Shalala,FL,Congress,Democratic,MED,MED US,US,Medifast Inc,Buy,4/30/2019,8000,Com,146.69,54,112.97,107.8,79,,,,,,
Donna Shalala,FL,Congress,Democratic,MGPI,MGPI US,US,MGP Ingredients Inc,Buy,4/30/2019,8000,Com NPV,87.87,90,68.04,48.75,40.99,,,,,,
Donna Shalala,FL,Congress,Democratic,PCH,PCH US,US,Potlatchdeltic Corp,Buy,4/30/2019,8000,Com,38.66,206,38.5,43.01,36.73,,,,,,
Donna Shalala,FL,Congress,Democratic,PDCE,PDCE US,US,PDC Energy Inc,Buy,4/30/2019,8000,Com NPV,43.49,182,27.06,21.66,12.28,,,,,,
Donna Shalala,FL,Congress,Democratic,REXR,REXR US,US,Rexford Industrial Realty Inc,Buy,4/30/2019,8000,Com,37.89,210,41.51,47.9,41.72,,,,,,
Donna Shalala,FL,Congress,Democratic,WH,WH US,US,Wyndham Hotels & Resorts Inc,Buy,4/30/2019,8000,Ord,55.72,142,57.09,53.25,40.47,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,QSR,QSR CN,CN,Restaurant Brands International Inc,Buy,4/30/2019,8000,Com NPV,65.24,122,74.88,65.86,51.11,,,,,,
John Curtis,UT,Congress,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,4/29/2019,8000,Com,1938.43,4,1912.45,1777.08,2314.08,,,,,,
John Curtis,UT,Congress,Republican,DOMO,DOMO US,US,Domo Inc,Buy,4/29/2019,8000,Com B,38.14,208,29.15,16.51,17.68,,,,,,
Frederick Upton,MI,Congress,Republican,JAM,JAM LN,LN,JP Morgan American Investment Trust,Buy,4/25/2019,8000,Ord,455,16,483,460,419.5,,,,,,
Cynthia Axne,IA,Congress,Democratic,BDX,BDX US,US,Becton Dickinson & Co,Buy,4/23/2019,16001,Com,228.04,70,252.51,254.1,266.76,,,,,,
Cynthia Axne,IA,Congress,Democratic,MKL,MKL US,US,Markel Corp,Buy,4/23/2019,8000,Com NPV,1027.19,6,1080.02,1153.05,879.04,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,TSLA,TSLA US,US,Tesla Inc,Buy,4/23/2019,8000,Com,52.78,150,51.14,50.7,146.42,,,,,,
Donna Shalala,FL,Congress,Democratic,VRTX,VRTX US,US,Vertex Pharmaceutical Inc,Buy,4/18/2019,8000,Com,168.16,46,177.14,176.14,270.46,,,,,,
Thomas Carper,DE,Senate,Democratic,SWKS,SWKS US,US,Skyworks Solutions Inc,Buy,4/17/2019,8000,Com,91.18,86,81.31,84.98,95.01,,,,,,
Donna Shalala,FL,Congress,Democratic,AMBA,AMBA US,US,Ambarella Inc,Buy,4/16/2019,8000,Com,49.32,162,46.28,53.06,47.96,,,,,,
Donna Shalala,FL,Congress,Democratic,AXGN,AXGN US,US,Axogen Inc,Buy,4/16/2019,8000,Com,22.1,360,19.7,11.65,7.83,,,,,,
Donna Shalala,FL,Congress,Democratic,BKU,BKU US,US,Bankunited Inc,Buy,4/16/2019,8000,Com,35.77,222,32.01,32.92,17.59,,,,,,
Donna Shalala,FL,Congress,Democratic,BURL,BURL US,US,Burlington Stores Inc,Buy,4/16/2019,8000,Com,160.56,48,179.34,200.41,173.48,,,,,,
Donna Shalala,FL,Congress,Democratic,H,H US,US,Hyatt Hotels Corp,Buy,4/16/2019,8000,Com A,76.63,104,78.18,70.33,54.1,,,,,,
Donna Shalala,FL,Congress,Democratic,PDCE,PDCE US,US,PDC Energy Inc,Buy,4/16/2019,8000,Com NPV,44.85,178,30.14,24.25,9.02,,,,,,
Donna Shalala,FL,Congress,Democratic,PDM,PDM US,US,Piedmont Office Realty Trust Inc,Buy,4/16/2019,8000,Com,20.5,390,20.22,20.42,17.91,,,,,,
Donna Shalala,FL,Congress,Democratic,PLCE,PLCE US,US,Children's Place Inc,Buy,4/16/2019,8000,Com,107.95,74,96.85,74.83,26.43,,,,,,
Donna Shalala,FL,Congress,Democratic,PLNT,PLNT US,US,Planet Fitness Inc,Buy,4/16/2019,8000,Com A,73.55,108,77.19,60.77,52,,,,,,
Donna Shalala,FL,Congress,Democratic,RDUS,RDUS US,US,Radius Health Inc,Buy,4/16/2019,8000,Com,22.75,350,22,25.05,13.06,,,,,,
Donna Shalala,FL,Congress,Democratic,TOL,TOL US,US,Toll Brothers Inc,Buy,4/16/2019,8000,Com,38.34,208,36.42,39.25,21.37,,,,,,
Thomas Suozzi,NY,Congress,Democratic,CI,CI US,US,Cigna Corp,Buy,4/12/2019,75000,Com,160.6,466,175.34,149.59,177.48,,,,,,
Carol Miller,WV,Congress,Republican,CVS,CVS US,US,CVS Health Corp,Buy,4/11/2019,32500,Com,52.69,616,55.38,60.38,58.96,,,,,,
Cynthia Axne,IA,Congress,Democratic,MKL,MKL US,US,Markel Corp,Buy,4/11/2019,24001,Com NPV,985.78,24,1121.62,1145.28,943.99,,,,,,
Donna Shalala,FL,Congress,Democratic,TSM,2330 TT,TT,Taiwan Semiconductor Manufacturing,Buy,4/11/2019,8000,DR,42.1,190,40.71,47.86,48.75,,,,,,
Donna Shalala,FL,Congress,Democratic,RIO,RIO LN,LN,Rio Tinto,Buy,4/11/2019,8000,Ord,62.06,128,61.39,49.24,47.87,,,,,,
Donna Shalala,FL,Congress,Democratic,SAP,SAP GR,GR,SAP Se,Buy,4/11/2019,8000,Ord NPV,112.33,70,137.66,112.9,122.38,,,,,,
Donna Shalala,FL,Congress,Democratic,RIO,RIO LN,LN,Rio Tinto,Buy,4/10/2019,8000,Ord,62.4,128,60.58,49.69,47.66,,,,,,
Donna Shalala,FL,Congress,Democratic,SGSN,SGSN SW,SW,SGS Sa,Buy,4/8/2019,8000,Ord,2550,2,2486,2403,2248,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,VIOT,VIOT US,US,Viomi Technology Co Ltd,Buy,4/8/2019,8000,DR,11.25,710,9.05,7.89,4.98,,,,,,
Donna Shalala,FL,Congress,Democratic,BBVA,BBVA SM,SM,Banco Bilbao Vizcaya Argentaria Sa,Buy,4/5/2019,8000,Ord,6.2,1290,5.68,4.98,3.14,,,,,,
Donna Shalala,FL,Congress,Democratic,SGSN,SGSN SW,SW,SGS Sa,Buy,4/5/2019,8000,Ord,2560,2,2514,2386,2228,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,TSLA,TSLA US,US,Tesla Inc,Buy,4/4/2019,32500,Com,53.56,606,46.98,48.94,96,,,,,,
Donna Shalala,FL,Congress,Democratic,AIV,AIV US,US,Apartment Investment & Management Co,Buy,4/3/2019,8000,Com A,6.78,1178,6.76,6.95,4.16,,,,,,
Donna Shalala,FL,Congress,Democratic,FIVE,FIVE US,US,Five Below Inc,Buy,4/3/2019,8000,Ord,122.88,64,122.18,126.1,64.35,,,,,,
Donna Shalala,FL,Congress,Democratic,G,G US,US,Genpact Ltd,Buy,4/3/2019,8000,Com,35.69,224,38.43,38.75,27.08,,,,,,
Donna Shalala,FL,Congress,Democratic,H,H US,US,Hyatt Hotels Corp,Buy,4/3/2019,8000,Com A,75.15,106,76.51,73.67,40.15,,,,,,
Donna Shalala,FL,Congress,Democratic,HE,HE US,US,Hawaiian Electric Industries Inc,Buy,4/3/2019,8000,Com NPV,40.52,196,43.82,45.61,41.24,,,,,,
Donna Shalala,FL,Congress,Democratic,HIW,HIW US,US,Highwoods Properties Inc,Buy,4/3/2019,8000,Com,46.8,170,42.97,44.94,31.12,,,,,,
Donna Shalala,FL,Congress,Democratic,PLNT,PLNT US,US,Planet Fitness Inc,Buy,4/3/2019,8000,Com A,71.25,112,76.05,57.87,39.84,,,,,,
Donna Shalala,FL,Congress,Democratic,PNW,PNW US,US,Pinnacle West Capital Corp,Buy,4/3/2019,8000,Com,94.12,84,94.99,97.07,71.77,,,,,,
