REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH
David Roe,TN,Congress,Republican,TJX,TJX US,US,Tjx Companies Inc,Buy,12/31/2020,8000,Com,68.29,116,66.15,66.7,#N/A,-3.13,-2.33,#N/A
David Roe,TN,Congress,Republican,TMO,TMO US,US,Thermo Fisher Scientific Inc,Buy,12/31/2020,8000,Com,465.78,16,456.38,508.24,#N/A,-2.02,9.12,#N/A
David Roe,TN,Congress,Republican,TXN,TXN US,US,Texas Instruments Inc,Buy,12/31/2020,8000,Com,164.13,48,188.99,192.88,#N/A,15.15,17.52,#N/A
David Roe,TN,Congress,Republican,UNH,UNH US,US,UnitedHealth Group ,Buy,12/31/2020,8000,Com,350.68,22,372.07,398.1,#N/A,6.10,13.52,#N/A
David Roe,TN,Congress,Republican,UNP,UNP US,US,Union Pacific Corp,Buy,12/31/2020,8000,Com,208.22,38,220.41,218.65,#N/A,5.85,5.01,#N/A
David Roe,TN,Congress,Republican,UPS,UPS US,US,United Parcel Service Inc,Buy,12/31/2020,8000,Com B,168.4,46,169.99,207.61,#N/A,0.94,23.28,#N/A
David Roe,TN,Congress,Republican,V,V US,US,Visa Inc,Buy,12/31/2020,8000,Com A,218.73,36,211.73,235.95,#N/A,-3.20,7.87,#N/A
David Roe,TN,Congress,Republican,VFC,VFC US,US,VF Corp,Buy,12/31/2020,8000,Com NPV,85.41,92,79.92,81.05,#N/A,-6.43,-5.10,#N/A
Gilbert Cisneros,CA,Congress,Democratic,ABMD,ABMD US,US,Abiomed Inc,Buy,12/31/2020,8000,Com,324.2,24,318.73,313.27,#N/A,-1.69,-3.37,#N/A
Gilbert Cisneros,CA,Congress,Democratic,EDU,EDU US,US,New Oriental Education & Technology,Buy,12/31/2020,8000,Com,18.58,430,14,8.38,#N/A,-24.65,-54.90,#N/A
Gilbert Cisneros,CA,Congress,Democratic,NVDA,NVDA US,US,NVIDIA Corp,Buy,12/31/2020,8000,Com,130.55,60,133.48,200.27,#N/A,2.24,53.40,#N/A
Michael Mccaul,TX,Congress,Republican,BABA,9988 HK,HK,Alibaba Group Holding Ltd,Buy,12/31/2020,150001,Ord,232.73,644,226.73,229.44,#N/A,-2.58,-1.41,#N/A
Rohit Khanna,CA,Congress,Democratic,ED,ED US,US,Consolidated Edison Inc,Buy,12/31/2020,8000,Com,72.27,110,74.8,72.05,#N/A,3.50,-0.30,#N/A
Shelley Capito,WV,Senate,Republican,AMT,AMT US,US,American Tower Corp,Buy,12/31/2020,8000,Com,224.46,34,239.06,272.79,#N/A,6.50,21.53,#N/A
Shelley Capito,WV,Senate,Republican,PSX,PSX US,US,Phillips 66,Buy,12/31/2020,8000,Com,69.94,114,81.54,85.11,#N/A,16.59,21.69,#N/A
Shelley Capito,WV,Senate,Republican,UNH,UNH US,US,UnitedHealth Group ,Buy,12/31/2020,8000,Com,350.68,22,372.07,398.1,#N/A,6.10,13.52,#N/A
Gilbert Cisneros,CA,Congress,Democratic,ADBE,ADBE US,US,Adobe Inc,Buy,12/31/2020,8000,Com,500.12,14,475.37,590.75,#N/A,-4.95,18.12,#N/A
Gilbert Cisneros,CA,Congress,Democratic,AMZN,AMZN US,US,Amazon Com Inc,Buy,12/31/2020,8000,Com,3256.93,2,3094.08,3448.14,#N/A,-5.00,5.87,#N/A
Gilbert Cisneros,CA,Congress,Democratic,COST,COST US,US,Costco Wholesale Corp,Buy,12/31/2020,8000,Com,376.78,20,352.48,398.79,#N/A,-6.45,5.84,#N/A
Gilbert Cisneros,CA,Congress,Democratic,FB,FB US,US,Facebook Inc,Buy,12/31/2020,8000,Com A,273.16,28,294.53,351.89,#N/A,7.82,28.82,#N/A
Gilbert Cisneros,CA,Congress,Democratic,V,V US,US,Visa Inc,Buy,12/31/2020,8000,Com A,218.73,36,211.73,235.95,#N/A,-3.20,7.87,#N/A
Cynthia Axne,IA,Congress,Democratic,AZO,AZO US,US,Autozone Inc,Buy,12/30/2020,24001,Com,1175.87,20,1425.36,1496.16,#N/A,21.22,27.24,#N/A
Cynthia Axne,IA,Congress,Democratic,LBRDA,LBRDA US,US,Liberty Broadband Corp,Buy,12/30/2020,8000,Com A,155,50,147.14,167.91,#N/A,-5.07,8.33,#N/A
Douglas Lamborn,CO,Congress,Republican,NTAP,NTAP US,US,NetApp Inc,Buy,12/30/2020,8000,Com NPV,65.33,122,72.22,82.46,#N/A,10.55,26.22,#N/A
