REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH,,,
Susie Lee,NV,Congress,Democratic,GFL,GFL CN,CN,GFL Environmental Inc,Buy,5/14/2021,8000,Sub Vtg NPV,31.81,250,35.79,39.34,#N/A,12.51,23.67,#N/A,,,
Susie Lee,NV,Congress,Democratic,LYV,LYV US,US,Live Nation Entertainment Inc,Buy,5/14/2021,8000,Com,85.8,92,84.02,115.01,#N/A,-2.07,34.04,#N/A,,,
Susie Lee,NV,Congress,Democratic,PHM,PHM US,US,Pultegroup Inc,Buy,5/14/2021,8000,Com,58.46,136,54.46,50.62,#N/A,-6.84,-13.41,#N/A,,,
Susie Lee,NV,Congress,Democratic,PII,PII US,US,Polaris Inc,Buy,5/14/2021,8000,Com,134.41,58,134.98,119.78,#N/A,0.42,-10.88,#N/A,,,
Susie Lee,NV,Congress,Democratic,RXT,RXT US,US,Rackspace Technology Inc,Buy,5/14/2021,8000,Com,19.46,410,14.31,14.36,#N/A,-26.46,-26.21,#N/A,,,
Susie Lee,NV,Congress,Democratic,SWK,SWK US,US,Stanley Black & Decker Inc,Buy,5/14/2021,8000,Com,216.01,36,200.79,187.40,#N/A,-7.05,-13.24,#N/A,,,
Susie Lee,NV,Congress,Democratic,SYF,SYF US,US,Synchrony Financial,Buy,5/14/2021,8000,Com,46.8,170,51.62,49.49,#N/A,10.30,5.75,#N/A,,,
Susie Lee,NV,Congress,Democratic,TAP,TAP US,US,Molson Coors Beverage Co,Buy,5/14/2021,8000,Com B NPV,58.18,136,50.37,46.04,#N/A,-13.42,-20.87,#N/A,,,
Susie Lee,NV,Congress,Democratic,UAA,UAA US,US,Under Armour Inc,Buy,5/14/2021,8000,Com A,22.78,350,25.77,24.74,#N/A,13.13,8.60,#N/A,,,
Susie Lee,NV,Congress,Democratic,WHR,WHR US,US,Whirlpool Corp,Buy,5/14/2021,8000,Com,246.72,32,230.79,221.11,#N/A,-6.46,-10.38,#N/A,,,
